id,title,type,description,release_year,age_certification,runtime,genres,contains_US,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm139532,Before I Wake,MOVIE,"In this intense and heart pounding supernatural thriller, Jessie (Kate Bosworth) and Mark (Thomas Jane) decide to take in a sweet and loving 8-year-old boy, Cody. Unbeknownst to them, Cody is terrified of falling asleep. At first, they assume his previous unstable homes caused his aversion to sleep, but soon discover why: Cody's dreams manifest in reality as he sleeps. In one moment they experience the incredible wonder of Cody's imagination, and in the next, the horrific nature of his night terrors. To save their new family, Jessie and Mark embark on a dangerous hunt to uncover the truth behind Cody's nightmares.",2016,PG-13,97,"['drama', 'fantasy', 'horror', 'thriller']",US,['US'],,tt3176922,6.2,45243,13.359,6.4
ts36856,F is for Family,SHOW,"Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV.",2015,TV-MA,28,"['comedy', 'animation', 'drama']",US,['US'],5,tt4326894,8,36050,34.434,7.3
tm219248,The Fundamentals of Caring,MOVIE,"Having suffered a tragedy, Ben becomes a caregiver to earn money. His first client, Trevor, is a hilarious 18-year-old with muscular dystrophy. One paralyzed emotionally, one paralyzed physically, Ben and Trevor hit the road on a trip into the western states. The folks they collect along the way will help them test their skills for surviving outside their calculated existence. Together, they come to understand the importance of hope and the necessity of true friendship.",2016,R,97,"['drama', 'comedy']",US,['US'],,tt2452386,7.3,70542,10.667,7.3
tm220594,Winter on Fire: Ukraine's Fight for Freedom,MOVIE,"A documentary on the unrest in Ukraine during 2013 and 2014, as student demonstrations supporting European integration grew into a violent revolution calling for the resignation of President Viktor F. Yanukovich.",2015,,98,['documentation'],US,"['UA', 'GB', 'US']",,tt4908644,8.3,17710,11.354,8
tm239743,Batman: The Killing Joke,MOVIE,"As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness.",2016,R,72,"['drama', 'crime', 'thriller', 'animation', 'action']",US,['US'],,tt4853102,6.4,55806,29.498,6.6
tm138614,Cop Car,MOVIE,Two kids find themselves in the centre of a deadly game of cat and mouse after taking a sheriff's cruiser for a joy ride.,2015,R,86,"['thriller', 'crime']",US,['US'],,tt4209984,6.3,32547,10.384,5.9
tm205890,Bastille Day,MOVIE,"Michael Mason is an American pickpocket living in Paris who finds himself hunted by the CIA when he steals a bag that contains more than just a wallet. Sean Briar, the field agent on the case, soon realises that Michael is just a pawn in a much bigger game and is also his best asset to uncover a large-scale conspiracy.",2016,R,92,"['action', 'drama', 'thriller', 'crime']",US,"['US', 'FR', 'LU', 'GB']",,tt4649162,6.3,42763,14.921,6.3
tm139841,Sinister 2,MOVIE,A young mother and her twin sons move into a rural house that's marked for death.,2015,R,97,"['horror', 'thriller']",US,"['GB', 'US', 'CA']",,tt2752772,5.3,53733,26.423,5.8
tm233521,Other People,MOVIE,"David, a struggling comedy writer fresh off from breaking up with his boyfriend, moves from New York City to Sacramento to help his sick mother. Living with his conservative father and much-younger sisters for the first time in ten years, he feels like a stranger in his childhood home. As his mother’s health declines, David frantically tries to extract meaning from this horrible experience and convince everyone (including himself) that he's ""doing okay.”",2016,,97,"['comedy', 'drama']",US,['US'],,tt4158876,6.8,11243,7.611,6.4
ts35354,Zoo,SHOW,"Set amidst a wave of violent animal attacks sweeping across the planet, a young renegade scientist is thrust into a race to unlock the mystery behind this pandemic before time runs out for animals and humans alike.",2015,TV-14,43,"['drama', 'thriller', 'scifi']",US,['US'],3,tt3250026,6.6,24479,60.53,6.6
